State,Year,Incentive ($),Additional Registration Fee ($/year),dem_margin,num_stations,num_charging_outlets,Electric (EV),Car Sales,EV Sales Market Share,norm_num_stations
Florida,2018,0.0,0.0,-3.4,1265,3027,27400,1481300.5816102212,0.7763447974548914,0.0008539792772003805
Georgia,2018,0.0,213.7,0.2,772,2188,15900,527819.5902102778,0.284188011930822,0.0014626209680706304
Hawaii,2018,0.0,50.0,29.5,278,536,6600,82492.72208684594,1.4546737816903106,0.0033699942609158864
Idaho,2018,0.0,140.0,-30.8,87,174,1100,85132.03148115701,0.4698583988196445,0.0010219420174327268
Illinois,2018,0.0,100.0,17.0,579,1399,13600,578899.3066125242,0.9155305490022739,0.0010001739393817296
Indiana,2018,0.0,150.0,-16.1,225,489,3400,272423.49576680677,0.5506132999937688,0.0008259199499906534
Iowa,2018,0.0,130.0,-8.2,129,296,1100,136211.74788340338,0.36707553332917925,0.0009470548759892824
Kansas,2018,0.0,70.0,-14.7,198,783,1700,118806.23626041137,0.5891946601739576,0.0016665791816349088
Kentucky,2018,0.0,120.0,-25.9,114,221,1200,151670.73773349397,0.32966148083130425,0.0007516281762953738
Louisiana,2018,0.0,100.0,-18.6,102,213,900,245937.11803266252,0.12198240037933496,0.00041474016128973887
Maine,2018,0.0,0.0,9.1,151,264,800,65480.24617007556,0.4581534394675197,0.002306038978653182
Maryland,2018,3000.0,0.0,33.2,665,1752,8400,304949.6880244075,1.3116917829671133,0.002180687589182826
Massachusetts,2018,2500.0,0.0,33.5,649,1794,10300,346748.28911074944,1.355450090915617,0.0018716747000090117
Michigan,2018,0.0,145.0,2.8,606,1382,4200,612952.8654753153,0.27734595851537985,0.0009886567697665893
Minnesota,2018,0.0,75.0,7.1,318,788,4900,243005.51942644612,1.0699345455760227,0.0013086122518968278
Mississippi,2018,0.0,150.0,-16.5,58,119,300,121725.39702782329,0.08215212473461275,0.000476482323460754
Missouri,2018,0.0,105.0,-15.4,409,1675,3500,323503.21216905315,0.43276231806576365,0.001264284200634981
Montana,2018,0.0,0.0,-16.4,43,96,500,70731.50171332783,0.28275944261807506,0.0006079328016288614
Nebraska,2018,0.0,75.0,-19.2,78,195,900,87296.21543313687,0.45821001290299185,0.0008935095251608341
Nevada,2018,0.0,0.0,2.4,226,659,5100,154481.6893033069,1.294651818619896,0.0014629565550404824
New Hampshire,2018,0.0,0.0,7.4,126,228,1200,116698.02258305169,0.5141475294262092,0.0010797098117950395
New Jersey,2018,2600.0,0.0,15.9,309,749,13400,569334.6085718776,1.141683625435074,0.000542738831168366
New Mexico,2018,0.0,0.0,10.8,70,181,1300,86884.52296870851,0.6905717836720934,0.0008056670809507756
New York,2018,2000.0,0.0,23.1,1157,2562,15500,970508.3927232791,0.628536553185614,0.0011921586754684514
North Carolina,2018,0.0,140.25,-1.3,666,1488,7300,479073.2123677522,0.6053354529398871,0.001390184178130913
North Dakota,2018,0.0,120.0,-33.4,20,28,100,35434.15897008857,0.0,0.0005644271116151741
Ohio,2018,0.0,200.0,-8.0,441,949,6400,595925.4641519795,0.45307679607921836,0.0007400254335960567
Oklahoma,2018,0.0,110.0,-33.1,65,167,3700,476741.11759191187,0.5243936190416846,0.000136342340950838
Oregon,2018,2500.0,91.0,16.1,669,1544,13800,187291.4642856498,2.028923215744838,0.0035719727140349905
Pennsylvania,2018,2000.0,0.0,1.2,453,985,8000,653175.5923851293,0.5511534787842082,0.0006935347941367954
Rhode Island,2018,0.0,0.0,20.8,89,246,700,52593.401384751836,0.5704137631360303,0.0016922274973035565
South Carolina,2018,0.0,60.0,-11.7,270,554,2000,240490.58842017988,0.33265335049297545,0.0011227050579137921
South Dakota,2018,0.0,50.0,-26.2,33,77,200,32670.47118773268,0.30608680060160454,0.001010086441985295
Tennessee,2018,2500.0,100.0,-23.2,458,1145,3900,289449.6533062621,0.34548322603859394,0.0015823131752567602
Texas,2018,2500.0,0.0,-5.6,1180,3138,24500,1634539.73081696,0.513906137711415,0.0007219157648803211
Utah,2018,0.0,130.25,-20.5,196,553,5600,170264.06296231403,1.1746459970491112,0.001151153077108129
Vermont,2018,0.0,0.0,35.4,209,535,1100,51079.716402246384,0.7830897040423052,0.004091643703621044
Virginia,2018,0.0,120.0,10.1,615,1446,9900,374581.6847874191,1.2814294438138571,0.0016418314748865045
Washington,2018,0.0,150.0,19.2,961,2573,30200,333820.3994573709,2.7559729767727528,0.002878793511607191
West Virginia,2018,0.0,200.0,-38.9,89,212,200,84501.43305376978,0.11834118829247334,0.0010532365758030126
Wisconsin,2018,0.0,100.0,0.6,306,557,3700,238506.753130865,0.37734780595758805,0.0012829825402557993
Wyoming,2018,0.0,200.0,-43.4,45,121,200,16883.12239320377,0.5923074989982575,0.002665383745492159
Alabama,2019,0.0,200.0,-25.5,195,506,2000,219340.74288738644,0.3191381549935722,0.0008890277174820939
Alaska,2019,0.0,0.0,-10.1,19,34,700,32887.55362139881,0.6081327979040279,0.0005777261580088264
Arizona,2019,0.0,0.0,0.3,522,1476,19500,404937.3249590229,1.7039673980901207,0.0012890883794247
